user_id	H	SD	SH	PD	type_player_numerical
526	0.5100	1.0100	0.0100	0.3433	1.0001
527	1.0100	0.2600	1.0100	0.5100	0.3334
528	1.0100	0.3433	0.6767	0.6100	0.3334
529	1.0100	0.6767	0.2600	0.3433	0.3334
530	0.5100	0.2100	0.0100	0.5100	1.0001
531	0.3433	0.2100	0.6767	1.0100	1.0001
532	1.0100	0.3433	0.0100		
533	1.0100	0.0100	0.5814	0.6767	0.3334
534	1.0100	0.0100	1.0100	0.0100	0.0001
535		1.0100		1.0100	
536	0.0100	0.6767	0.4100	0.6767	1.0001
537	1.0100	0.5100	0.5100	0.0100	0.0001
538	1.0100	1.0100	0.0100	0.0100	0.0001
540	0.5100	1.0100	0.6767	0.3433	1.0001
541	0.6767	0.5100	0.4100	0.0100	0.6667
542		0.7600	1.0100	0.6100	
543	1.0100	0.5100	0.5100	1.0100	0.3334
544	1.0100	0.3433	0.3433	0.2600	0.3334
545	0.0100	0.6767	0.7600	0.2100	1.0001
546	1.0100	1.0100	0.5100	0.5100	0.3334
547	1.0100	0.3433	0.6767	0.2600	0.3334
548	1.0100	1.0100	1.0100	0.2600	0.3334
549	1.0100	0.0100	0.4100	0.0100	0.0001
551		0.2600	0.8100	0.3433	
552	1.0100	0.4100	1.0100	0.2600	0.3334
553	0.7600	0.3433	0.1767	0.0100	0.6667
554	1.0100	0.6767	0.6767	0.4100	0.3334
555	0.6767	0.5100	0.2100	0.6767	1.0001
556	1.0100	1.0100	1.0100	1.0100	0.3334
557	1.0100	0.0100	0.0100	0.5100	0.3334
558	1.0100	1.0100	0.5100	0.0100	0.0001
559	1.0100	0.0100	0.0100	0.2600	0.3334
560	1.0100	0.5100	0.0100	0.0100	0.0001
561	0.8433	0.7600	0.0100	0.3433	1.0001
562	0.7600	0.6100	0.6767	1.0100	1.0001
563	0.8100	0.2100	0.0100	0.3433	1.0001
564	0.7243	0.5100		0.5100	1.0001
565	1.0100	0.0100	0.5100	0.2100	0.3334
566	1.0100	0.0100	0.2600	0.0100	0.0001
567	0.7600	0.5100	0.8671		
568	0.6767	0.2100	0.2600	0.0100	0.6667
569	0.6100	1.0100	0.8100	1.0100	1.0001
570	0.6767	0.0100	0.8100	0.0100	0.6667
571	0.8100	0.0100	0.3433		
572	1.0100	0.6767	0.8433	0.6767	0.3334
574	1.0100	0.0100	0.0100	0.0100	0.0001
575	0.3433	0.2600	0.5100	0.2600	1.0001
